Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,2,Export,604,Peru,PER,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,8900529,,,,8900529,,22595562,,,0
H5,2019,2019,2019,6,1,2,Export,604,Peru,PER,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,5149933,,,,5149933,,13742519,,,0
H5,2019,2019,2019,6,1,2,Export,604,Peru,PER,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,59102410,,,,59102410,,172572243,,,0
H5,2019,2019,2019,6,1,2,Export,608,Philippines,PHL,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,9747,,,,9747,,98957,,,0
H5,2019,2019,2019,6,1,2,Export,616,Poland,POL,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,116,,,,116,,789,,,0
H5,2019,2019,2019,6,1,2,Export,616,Poland,POL,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,24566,,,,24566,,124038,,,0
H5,2019,2019,2019,6,1,2,Export,616,Poland,POL,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,20,,,,20,,186,,,0
H5,2019,2019,2019,6,1,2,Export,616,Poland,POL,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,1837,,,,1837,,13797,,,0
H5,2019,2019,2019,6,1,2,Export,620,Portugal,PRT,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,10186,,,,10186,,51943,,,0
H5,2019,2019,2019,6,1,2,Export,620,Portugal,PRT,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,34145,,,,34145,,88038,,,0
H5,2019,2019,2019,6,1,2,Export,620,Portugal,PRT,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,1314,,,,1314,,15694,,,0
H5,2019,2019,2019,6,1,2,Export,642,Romania,ROU,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,234752,,,,234752,,181016,,,0
H5,2019,2019,2019,6,1,2,Export,642,Romania,ROU,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,44543,,,,44543,,130359,,,0
H5,2019,2019,2019,6,1,2,Export,642,Romania,ROU,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,27626,,,,27626,,21134,,,0
H5,2019,2019,2019,6,1,2,Export,646,Rwanda,RWA,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,2445158,,,,2445158,,6744573,,,0
H5,2019,2019,2019,6,1,2,Export,646,Rwanda,RWA,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,224383,,,,224383,,792117,,,0
H5,2019,2019,2019,6,1,2,Export,646,Rwanda,RWA,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,91900,,,,91900,,301990,,,0
H5,2019,2019,2019,6,1,2,Export,646,Rwanda,RWA,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,326733,,,,326733,,2108346,,,0
H5,2019,2019,2019,6,1,2,Export,646,Rwanda,RWA,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,1802379,,,,1802379,,7639291,,,0
H5,2019,2019,2019,6,1,2,Export,686,Senegal,SEN,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,7740,,,,7740,,17622,,,0
H5,2019,2019,2019,6,1,2,Export,686,Senegal,SEN,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,16,,,,16,,102,,,0
H5,2019,2019,2019,6,1,2,Export,686,Senegal,SEN,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,1388,,,,1388,,3220,,,0
H5,2019,2019,2019,6,1,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,18874287,,,,18874287,,44956693,,,0
H5,2019,2019,2019,6,1,2,Export,699,India,IND,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,36350133,,,,36350133,,80583057,,,0
H5,2019,2019,2019,6,1,2,Export,699,India,IND,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,70787379,,,,70787379,,140266201,,,0
H5,2019,2019,2019,6,1,2,Export,699,India,IND,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,220770,,,,220770,,840273,,,0
H5,2019,2019,2019,6,1,2,Export,699,India,IND,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,2353297,,,,2353297,,6848094,,,0
H5,2019,2019,2019,6,1,2,Export,702,Singapore,SGP,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,95382,,,,95382,,633190,,,0
H5,2019,2019,2019,6,1,2,Export,702,Singapore,SGP,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,24044,,,,24044,,194717,,,0
H5,2019,2019,2019,6,1,2,Export,702,Singapore,SGP,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,1098760,,,,1098760,,7779452,,,0
H5,2019,2019,2019,6,1,2,Export,703,Slovakia,SVK,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,6469,,,,6469,,62341,,,0
H5,2019,2019,2019,6,1,2,Export,704,Viet Nam,VNM,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,72877340,,,,72877340,,115266871,,,0
